Name Small Inferno Bomb
//
//*fileinfo*
//
ShortName bombinfernosmall
Icon BombInfernoSmall
Model bmp.WE177
Texture WE177
//
//*sounds*
//
HitSoundEnable True
HitSound TankHit
HitSoundRange 32
EntityHitSoundEnable True
//
//*bullet stats*
//
WeaponType Bomb
FallSpeed 1.0
HitBoxSize 1.0
MaxStackSize 6
RoundsPerItem 1
//
DamageVsVehicles 10
DamageVsLiving 200
//
ExplodeOnImpact True
ExplosionBreaksBlocks False
ExplosionRadius 2.0
ExplosionDamageVsLiving 4.0
ExplosionDamageVsPlane 1.0
ExplosionDamageVsVehicle 1.0
//
SetEntitiesOnFire True
FireRadius 6
BreaksGlass False
