Name HE Rocket
//
//*fileinfo*
//
ShortName rockethe
Icon RocketHE
Colour 255 255 255 
WeaponType NONE
//
//*sounds*
//
HitSoundEnable True
HitSound RocketHit
HitSoundRange 32
EntityHitSoundEnable True
//
//*bullet stats*
//
FallSpeed 0.2
MaxStackSize 60
RoundsPerItem 1
//
DamageVsVehicles 100
DamageVsLiving 400
//
ExplodeOnImpact True
ExplosionRadius 1.0
ExplosionDamageVsLiving 50.0
ExplosionDamageVsDrivable 10.0
//
SetEntitiesOnFire False
FireRadius 0
BreaksGlass False
HitBoxSize 1.0
//
//*visuals*
//
FlakParticles 10
FlakParticleType explode
TrailParticles True
TrailParticleType flansmod.fmflame
BoostParticle explode
SmokeTrail True
