Name HE Grenade
//
//*fileinfo*
//
ShortName grenadehe
Icon GrenadeHE
Color 255 255 255
Model Manus_WH40K.Misc.WH40K_Misc_FragGrenade_1
Texture Skin_WH40K_Misc_FragGrenade_1A
StackSize 32
ThrowSound Throw
//
//*visual effects*
//
TrailParticles False
SpinWhenThrown True
ExplodeParticles explode
//
//*physics*
//
Bounciness 0.5
ThrowSpeed 1.7
FallSpeed 1.0
BreaksGlass False
PenetratesBlocks False
Sticky False
MeleeDamage 0
HitBoxSize 1.0
//
//*stats*
//
CanThrow True
ThrowDelay 60
//
DetonateOnImpact False
DetonateWhenShot True
//
Fuse 40
FireRadius 0.0
ExplosionBreaksBlocks False
ExplosionRadius 2.4
ExplosionDamageVsLiving 5.5
ExplosionDamageVsPlane 1.0
ExplosionDamageVsVehicle 1.0
//
//*smoke effects*
//
//Syntax is SmokeEffect <ID> <Duration> <Amplifier>
//IDs are 	1:MoveSpeed		2:MoveSlowdown		3:DigSpeed			4:DigSlowdown		5:DamageBoost	6:Heal			7:Harm		8:Jump			9:Confusion		10:Regeneration
//			11:Resistance	12:FireResistance	13:WaterBreathing	14:Invisibility		15:Blindness	16:NightVision	17:Hunger	18:Weakness		19:Poison		20:Wither
//SmokeEffect 7 1 5
