Name Portable Heavy Autogun
// 
//*file info*
//
ShortName portableheavyautogun
Icon PortableHeavyAutogun
Color 255 255 255
Model dwfirearms.SF370B
Texture SF370B_Standard
ModelScale 0.2
//
//*sounds*
//
ShootSound 12mmShoot
GunSoundRange 304
ReloadSound BoxReload
ReloadSoundRange 16
//
//*gun stats*
//
UsableByPlayers True
UsableByMechas False
CanShootUnderwater False
OneHanded False
Mode FullAuto
//
Ammo 12mmbox
Ammo 12mmapbox
ReloadTime 160
CanForceReload True
//
Damage 20
Accuracy 8
ShootDelay 3
BulletSpeed 10.0
//
Recoil 8
RandomRecoilRange 5.50
RandomRecoilYawRange 2.50
DecreaseRecoil 1.65
DecreaseRecoilYaw 0.75
//
//*melee*
//
MeleeDamage 1
MeleeTime 60
//MeleeSound Throw
//
//*status effects*
//
MoveSpeedModifier 0.8
KnockbackModifier 1.0
//
//*attachments*
//
AllowAllAttachments false
AllowAttachments bayonet ripperbayonet accuracy1 accuracy2 accuracy3 accuracy4 accuracy5 luckyshot1 luckyshot2 luckyshot3 luckyshot4 luckyshot5 agility1 agility2 agility3 agility4 agility5 heavyweapons1 heavyweapons2 heavyweapons3 heavyweapons4 metalstormer steady
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 6
