Name Vehicle Autocannon
// 
//*file info*
//
ShortName vehicleautocannon
Icon VehicleAutocannon
Color 255 255 255
Model fc.MechCannon
Texture MechCannon
ModelScale 0.2
//
//*sounds*
//
ShootSound 20mmShoot
GunSoundRange 400
ReloadSound BoxReload
ReloadSoundRange 16
//
//*gun stats*
//
UsableByPlayers False
UsableByMechas True
CanShootUnderwater False
OneHanded False
Mode FULLAUTO
//
Ammo 20mmtxmag
Ammo 20mmtqmag
Ammo 20mmbox
Ammo 20mmhebox
Ammo 20mmapbox
Ammo 20mmdrum
Ammo 20mmhedrum
Ammo 20mmapdrum
ReloadTime 0
CanForceReload False
//
Damage 40
Accuracy 2
ShootDelay 20
BulletSpeed 12.0
//
Recoil 0
//
//*attachments*
//
AllowAllAttachments false
AllowAttachments none
AllowScopeAttachments false
NumGenericAttachmentSlots 0
