ID,Unlocalised name,Class
0,null,null,null,null
1,potion.moveSpeed,net.minecraft.potion.Potion
2,potion.moveSlowdown,net.minecraft.potion.Potion
3,potion.digSpeed,net.minecraft.potion.Potion
4,potion.digSlowDown,net.minecraft.potion.Potion
5,potion.damageBoost,net.minecraft.potion.PotionAttackDamage
6,potion.heal,net.minecraft.potion.PotionHealth
7,potion.harm,net.minecraft.potion.PotionHealth
8,potion.jump,net.minecraft.potion.Potion
9,potion.confusion,net.minecraft.potion.Potion
10,potion.regeneration,net.minecraft.potion.Potion
11,potion.resistance,net.minecraft.potion.Potion
12,potion.fireResistance,net.minecraft.potion.Potion
13,potion.waterBreathing,net.minecraft.potion.Potion
14,potion.invisibility,net.minecraft.potion.Potion
15,potion.blindness,net.minecraft.potion.Potion
16,potion.nightVision,net.minecraft.potion.Potion
17,potion.hunger,net.minecraft.potion.Potion
18,potion.weakness,net.minecraft.potion.PotionAttackDamage
19,potion.poison,net.minecraft.potion.Potion
20,potion.wither,net.minecraft.potion.Potion
21,potion.healthBoost,net.minecraft.potion.PotionHealthBoost
22,potion.absorption,net.minecraft.potion.PotionAbsoption
23,potion.saturation,net.minecraft.potion.PotionHealth
24,ic2.potion.radiation,ic2.core.IC2Potion
25,null,null,null,null
26,immersiveengineering.potion.flammable,blusunrize.immersiveengineering.common.util.IEPotions.IEPotion
27,immersiveengineering.potion.slippery,blusunrize.immersiveengineering.common.util.IEPotions.IEPotion
28,immersiveengineering.potion.conductive,blusunrize.immersiveengineering.common.util.IEPotions.IEPotion
29,immersiveengineering.potion.sticky,blusunrize.immersiveengineering.common.util.IEPotions.IEPotion
30,null,null,null,null
31,null,null,null,null
32,potion.enviromine.hypothermia,enviromine.EnviroPotion
33,potion.enviromine.heatstroke,enviromine.EnviroPotion
34,potion.enviromine.frostbite,enviromine.EnviroPotion
35,potion.enviromine.dehydration,enviromine.EnviroPotion
36,potion.enviromine.insanity,enviromine.EnviroPotion
37,null,null,null,null
38,null,null,null,null
39,null,null,null,null
40,null,null,null,null
41,potion.fallresist,lycanite.lycanitesmobs.PotionBase
42,potion.fear,lycanite.lycanitesmobs.PotionBase
43,potion.leech,lycanite.lycanitesmobs.PotionBase
44,potion.paralysis,lycanite.lycanitesmobs.PotionBase
45,potion.penetration,lycanite.lycanitesmobs.PotionBase
46,potion.rage,lycanite.lycanitesmobs.PotionBase
47,potion.recklessness,lycanite.lycanitesmobs.PotionBase
48,potion.swiftswimming,lycanite.lycanitesmobs.PotionBase
49,potion.weight,lycanite.lycanitesmobs.PotionBase
50,null,null,null,null
51,null,null,null,null
52,null,null,null,null
53,null,null,null,null
54,null,null,null,null
55,null,null,null,null
56,null,null,null,null
57,null,null,null,null
58,null,null,null,null
59,null,null,null,null
